tweet,attachement,analysis,created_at,id,text,source,name,username,location,verified,description,profile_image_url,retweets,likes,attachments,replies
good night im #stressed xx,[],"[{'reply': '@tobesocharly goodnightt', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@tobesocharly goodnight, sleep well and see you in a few hours&lt;3', 'classification': '{""prediction"":""Positive"",""Probability"":""0.27""}'}, {'reply': '@sweetdayIight cries yes i will &lt;33', 'classification': '{""prediction"":""Positive"",""Probability"":""0.39""}'}, {'reply': '@sweetdayIight i love you too sleep well mwahh', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}, {'reply': '@tobesocharly if u need to talk about it text me &lt;3', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.13""}'}, {'reply': '@tobesocharly goodnight i love you', 'classification': '{""prediction"":""Positive"",""Probability"":""0.03""}'}]",,,,,,,,,,,,,,
"I have another flight tomorrow.. would you help me relieve some stress? 💋💋💋

#nsfwtwt #nsfw #horny #stressed #nsfwtwtﾟ https://t.co/aJqbT98oFw","['https://pbs.twimg.com/media/FVJ17t-WUAAu8ro.jpg - 1024x803 - Alt: None', 'https://pbs.twimg.com/media/FVJ18DWWUAI77o8.jpg - 1024x919 - Alt: None']","[{'reply': '@ChomperKat Sure. Just tell me what I can do 😌', 'classification': '{""prediction"":""Positive"",""Probability"":""0.37""}'}, {'reply': '@ChomperKat Sure! :)', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"This life has really beaten me down and now I'm hopeful it's going to change but I need your help. 

Life isn't supposed to be nothing but pain and suffering, but for a long time that's almost all I've had. 

#life #anxiety #stressed #alone",[],"[{'reply': '@WorkerUnityNow You are so welcome! Literally!  :)', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@myfiVeApp Thank you ❤️', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': ""@WorkerUnityNow You're not alone! We don't want you to feel that way. We made an app that allows you to find the top 5 people most like you wherever you go and we'd love for you to join our community!\n\nDM with any Q's!\n\nIOS:  https://t.co/DM2bXJh0DV\n\nAndroid: https://t.co/86MylpD88F"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}]",,,,,,,,,,,,,,
Home alone and I can’t find my 🌹! #Stressed 😂😂😂,[],"[{'reply': '@MzFireworks 😮\u200d💨🙌🏼☺️😂', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@tarayoung_26 Ayeeeeee😂😭 https://t.co/yipssbeXNF', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.18""}'}, {'reply': '@MzFireworks Just charged mines🗣🎉😂😂😂', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.14""}'}]",,,,,,,,,,,,,,
"🚨Hoping for a good day. I've got so much that needs to get done but can't do it without some help. My life is mostly unbearable and I need help. Please help me. Goal200

#help #stressed #hope #Donation

https://t.co/l9nqZldVpl
Venmo: Dennis-M-3 
Paypal:dennishrh88@gmail.com",[],"[{'reply': ""I've got to raise this money by noon. Hopefully moving this week, but need help to do so. Please Share my plea for help. \n\n@FernandAubry @CarolynUrban2 @PaulSorrentino3 @ripkin @ASnactivist @s4dsqu1dman @comradebirb @GotBeachGlass @Comrade_Aoife @TheComradeFist"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.35""}'}]",,,,,,,,,,,,,,
"""I was under pressure"" is not an excuse for toxic #behavior. 

Being #stressed doesn't justify #hostility.
It's not your #Responsibility to absorb their pain. 

Being busy doesn't license incivility.
No one's calendar is too full to be #respectful

Acts of #Kindness cost nothing",[],"[{'reply': '@Meeracle_eth You sef collect 🎤🎙🎤🎙🔊🔊🔊📢📢', 'classification': '{""prediction"":""Positive"",""Probability"":""0.25""}'}]",,,,,,,,,,,,,,
getting my results td but idk at what time so im gonna be #stressed all day😔,[],"[{'reply': '@KaweecheIchen real creative', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@panicatheworId thank u aang ur so real\U0001faf6', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}, {'reply': ""@KIEUMYSALEX that's so real but I'll be rooting for you my prayers WILL change the universe in case it's needed amen"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.07""}'}]",,,,,,,,,,,,,,
@TicketmasterUK @Ticketmaster  URGENT help!! I have an event tonight - I can’t get the tickets. O2 app won’t recognise my email and password. Your chat box on website not working. I have sent a message on weekend no reply. #stressed,[],"[{'reply': '@Crissieamg Please see DM. Thanks!', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"This weekend @nirne had a nightmare of being in a plane crash. So what does she do?

She has spent Sunday night watching an Amelia erhardt and Sully documentary #stressed https://t.co/EHRLHVvXah",['None - 338x498 - Alt: None'],"[{'reply': '@sarkissmith \U0001fae0', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"I never post pics but I guess it's time to put a face to my dumb ass twitter 
#Zildjian #drums #stressed #ILLEGALimmigrants https://t.co/fN8oYyllPd",['https://pbs.twimg.com/media/FVFjHi_WYAAQavI.jpg - 1365x2048 - Alt: None'],"[{'reply': '@WTr8sh Anything for you zaddy 😫', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@Chandler_Cahill Thanks daddy 🖤🖤🖤', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.16""}'}, {'reply': '@WTr8sh God you’re so hot', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}]",,,,,,,,,,,,,,
I need to smoke. #weed. #stressed.,[],"[{'reply': '@Cuz_I_Was_High Bet', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@FranoisLaporte Thanks man', 'classification': '{""prediction"":""Positive"",""Probability"":""0.25""}'}, {'reply': '@Cuz_I_Was_High Text liljah58 on IG they’re reliable', 'classification': '{""prediction"":""Positive"",""Probability"":""0.27""}'}, {'reply': '@Cuz_I_Was_High Am in ma room weeding and feeling like the most high', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@Cuz_I_Was_High https://t.co/IOVnyMMz05', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.18""}'}, {'reply': '@Cuz_I_Was_High Dm directly or Snapchat:@brettalvine', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}, {'reply': '@Cuz_I_Was_High https://t.co/qDR69aLvgl', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.18""}'}]",,,,,,,,,,,,,,
I just wanna be able to write my articles again. Can you go read my stuff and validate me until I stop working 24/7? Link in profile.  #WritingCommunity #writers #blog #blogging #politics #political #writerslift #stressed #mediumwriters #writersoftwitter,[],"[{'reply': '@colinhwray How can we address gun violence in America? Would Jesus approve of the National Rifle Association? Link below 👇\n\n#GunControlNow #GunViolencePrevention #ProtectingOurKidsAct #BanAssaultWeaponsNow #MarchForOurLivesJune11 #EndGunViolence #MarchForOurLives\n\nhttps://t.co/u5Ed7xs9q8', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.14""}'}]",,,,,,,,,,,,,,
I really wish this headache would fuck off ! Ugh 😩 #stressed https://t.co/iYVBvyCiBI,['None - 480x480 - Alt: None'],"[{'reply': '@Carmel311710 ❤️', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@daveyb0072 Thanks Dave', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': ""@Carmel311710 Take csre Carmel, I hope life calms down for you soon, get some sleep,I'm hoping you feel better quickly!"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@Carmel311710 Thanks, you too.', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@donnahot4Gaz Hope you feel better soon Donna', 'classification': '{""prediction"":""Positive"",""Probability"":""0.01""}'}, {'reply': '@daveyb0072 Not too often thankfully, just had a few stressful things here to deal with so I wasn’t sleeping which had me tired and brought on the headaches. Few good nights and I’ll be fine , thanks Dave 🤗', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@Carmel311710 Sorry to hear Carmel do you get them often?', 'classification': '{""prediction"":""Positive"",""Probability"":""0.28""}'}, {'reply': '@Carmel311710 I’ve had one too. Think it’s partly sinus issues from allergies…', 'classification': '{""prediction"":""Positive"",""Probability"":""0.36""}'}, {'reply': '@Carmel311710 You too', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@JeffFarkas10 Thanks Jeff , I won’t be on here much today either until this headache packs it’s bags lol , have a great day 🤗', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}]",,,,,,,,,,,,,,
Please help @notonthehighst I ordered an item 31/5 expected 4/6 no sign of it and no reply from the seller @suzieleeknits #stressed #chisteninggift https://t.co/W1E14uC83F,['None - 398x498 - Alt: None'],"[{'reply': '@ChelBowPhill @notonthehighst @suzieleeknits Hello Chel, thank you for getting in touch. I am sorry to hear that you have yet to receive your order. Please send us a direct message or email us at info@notonthehighstreet.com stating your order number and we can look into this further for you. Best wishes, Fiona', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}]",,,,,,,,,,,,,,
"Viewing A Romantic Partner’s Picture Reduces Stress.

#psychologyfact #stressed #mindsjournal #themindsjournal https://t.co/cUyhLRDxfM",['https://pbs.twimg.com/media/FU4iCPuUsAAjaL2.png - 700x700 - Alt: None'],"[{'reply': ""@AnikaTHoque @TheMindsJournal But SRK is not her romantic partner. He is gauri khan's."", 'classification': '{""prediction"":""Negative"",""Probability"":""0.28""}'}, {'reply': '@TheMindsJournal @iFarinablog_30', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@TheMindsJournal Is this how you feel about Shahrukh Khan?', 'classification': '{""prediction"":""Positive"",""Probability"":""0.17""}'}]",,,,,,,,,,,,,,
Healing Music with Beautiful Landscapes - 528 Hz Music https://t.co/zT8pXuHkvq #calm #relaxing #meditation #CALM #relaxation #sleep #Vegan #nature  #NaturePhotography #yoga #InSomnia #stress #stressrelief #stressed https://t.co/oZmKdAd255,['None - 2160x2160 - Alt: None'],"[{'reply': '@TreeOfLife_Vid Instant follow back\n👉 @21Mayking 💯', 'classification': '{""prediction"":""Positive"",""Probability"":""0.31""}'}, {'reply': '@TreeOfLife_Vid @navsurani', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@TreeOfLife_Vid @JaphetZuma', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"Trying to figure out where to travel to and when, considering I have to change an Easyjet flight I have booked.
Any suggestions? Unfortunately Easyjet only flies to a few places from Madrid, so I am between London (Gatwick), Liverpool or Edinburgh again. #stressed #onlyhave2weeks",[],"[{'reply': ""@lismichelle Well... I feel like I need to go to Madrid so I can join you on any trip! :) lol I love London, it's always fun to visit! I haven't been to the other 2 :( but want to visit them soooo bad!!!"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}]",,,,,,,,,,,,,,
"Former #Brazilian #President #stressed that the #Palestinian #people have the #right to #live in a ""#free and #sovereign #state"", 

#Palestine 
#USOfficeofPalestinianAffairs https://t.co/Ysu3yEPowD",[],"[{'reply': ""adding that he will #work to reestablish the #leading role of Brazilian #ForeignPolicy  in the #mediation of #conflicts and of #peoples' #right to #defend themselves."", 'classification': '{""prediction"":""Positive"",""Probability"":""0.37""}'}]",,,,,,,,,,,,,,
good night im #stressed xx,[],"[{'reply': '@tobesocharly goodnightt', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@tobesocharly goodnight, sleep well and see you in a few hours&lt;3', 'classification': '{""prediction"":""Positive"",""Probability"":""0.27""}'}, {'reply': '@sweetdayIight cries yes i will &lt;33', 'classification': '{""prediction"":""Positive"",""Probability"":""0.39""}'}, {'reply': '@sweetdayIight i love you too sleep well mwahh', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}, {'reply': '@tobesocharly if u need to talk about it text me &lt;3', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.13""}'}, {'reply': '@tobesocharly goodnight i love you', 'classification': '{""prediction"":""Positive"",""Probability"":""0.03""}'}]",,,,,,,,,,,,,,
"I have another flight tomorrow.. would you help me relieve some stress? 💋💋💋

#nsfwtwt #nsfw #horny #stressed #nsfwtwtﾟ https://t.co/aJqbT98oFw","['https://pbs.twimg.com/media/FVJ17t-WUAAu8ro.jpg - 1024x803 - Alt: None', 'https://pbs.twimg.com/media/FVJ18DWWUAI77o8.jpg - 1024x919 - Alt: None']","[{'reply': '@ChomperKat Sure. Just tell me what I can do 😌', 'classification': '{""prediction"":""Positive"",""Probability"":""0.37""}'}, {'reply': '@ChomperKat Sure! :)', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"This life has really beaten me down and now I'm hopeful it's going to change but I need your help. 

Life isn't supposed to be nothing but pain and suffering, but for a long time that's almost all I've had. 

#life #anxiety #stressed #alone",[],"[{'reply': '@WorkerUnityNow You are so welcome! Literally!  :)', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@myfiVeApp Thank you ❤️', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': ""@WorkerUnityNow You're not alone! We don't want you to feel that way. We made an app that allows you to find the top 5 people most like you wherever you go and we'd love for you to join our community!\n\nDM with any Q's!\n\nIOS:  https://t.co/DM2bXJh0DV\n\nAndroid: https://t.co/86MylpD88F"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}]",,,,,,,,,,,,,,
Home alone and I can’t find my 🌹! #Stressed 😂😂😂,[],"[{'reply': '@MzFireworks 😮\u200d💨🙌🏼☺️😂', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@tarayoung_26 Ayeeeeee😂😭 https://t.co/yipssbeXNF', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.18""}'}, {'reply': '@MzFireworks Just charged mines🗣🎉😂😂😂', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.14""}'}]",,,,,,,,,,,,,,
"🚨Hoping for a good day. I've got so much that needs to get done but can't do it without some help. My life is mostly unbearable and I need help. Please help me. Goal200

#help #stressed #hope #Donation

https://t.co/l9nqZldVpl
Venmo: Dennis-M-3 
Paypal:dennishrh88@gmail.com",[],"[{'reply': ""I've got to raise this money by noon. Hopefully moving this week, but need help to do so. Please Share my plea for help. \n\n@FernandAubry @CarolynUrban2 @PaulSorrentino3 @ripkin @ASnactivist @s4dsqu1dman @comradebirb @GotBeachGlass @Comrade_Aoife @TheComradeFist"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.35""}'}]",,,,,,,,,,,,,,
"""I was under pressure"" is not an excuse for toxic #behavior. 

Being #stressed doesn't justify #hostility.
It's not your #Responsibility to absorb their pain. 

Being busy doesn't license incivility.
No one's calendar is too full to be #respectful

Acts of #Kindness cost nothing",[],"[{'reply': '@Meeracle_eth You sef collect 🎤🎙🎤🎙🔊🔊🔊📢📢', 'classification': '{""prediction"":""Positive"",""Probability"":""0.25""}'}]",,,,,,,,,,,,,,
getting my results td but idk at what time so im gonna be #stressed all day😔,[],"[{'reply': '@KaweecheIchen real creative', 'classification': '{""prediction"":""Positive"",""Probability"":""0.00""}'}, {'reply': '@panicatheworId thank u aang ur so real\U0001faf6', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}, {'reply': ""@KIEUMYSALEX that's so real but I'll be rooting for you my prayers WILL change the universe in case it's needed amen"", 'classification': '{""prediction"":""Positive"",""Probability"":""0.07""}'}]",,,,,,,,,,,,,,
@TicketmasterUK @Ticketmaster  URGENT help!! I have an event tonight - I can’t get the tickets. O2 app won’t recognise my email and password. Your chat box on website not working. I have sent a message on weekend no reply. #stressed,[],"[{'reply': '@Crissieamg Please see DM. Thanks!', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"This weekend @nirne had a nightmare of being in a plane crash. So what does she do?

She has spent Sunday night watching an Amelia erhardt and Sully documentary #stressed https://t.co/EHRLHVvXah",['None - 338x498 - Alt: None'],"[{'reply': '@sarkissmith \U0001fae0', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}]",,,,,,,,,,,,,,
"I never post pics but I guess it's time to put a face to my dumb ass twitter 
#Zildjian #drums #stressed #ILLEGALimmigrants https://t.co/fN8oYyllPd",['https://pbs.twimg.com/media/FVFjHi_WYAAQavI.jpg - 1365x2048 - Alt: None'],"[{'reply': '@WTr8sh Anything for you zaddy 😫', 'classification': '{""prediction"":""Positive"",""Probability"":""0.34""}'}, {'reply': '@Chandler_Cahill Thanks daddy 🖤🖤🖤', 'classification': '{""prediction"":""Neutral"",""Probability"":""0.16""}'}, {'reply': '@WTr8sh God you’re so hot', 'classification': '{""prediction"":""Positive"",""Probability"":""0.02""}'}]",,,,,,,,,,,,,,
